"race_id","driver_id","team","teamcolor","enginemanufacturer","gridposition","status","resultposition","completedlaps","speedtrap"
"3","20","Sauber","#9B0000","Ferrari","15","DNF","19","39","300"
"3","22","LotusF1","#E2B007","Renault","16","F","12","57","318.3"
"3","21","LotusF1","#E2B007","Renault","17","F","14","57","319.7"
"3","14","Caterham","#006400","Renault","18","F","15","57","312.6"
"3","18","Marussia","#6E0000","Ferrari","19","F","16","56","312.5"
"3","19","Caterham","#006400","Renault","20","DNF","20","33","303.4"
"3","17","Marussia","#6E0000","Ferrari","21","F","13","57","312.5"
"3","13","Sauber","#9B0000","Ferrari","22","DNF","22","17","302.7"
"4","1","Mercedes","#00D2BE","Mercedes","1","F","1","54","332.3"
"4","2","RedBull","#1E41FF","Renault","2","F","4","54","321.7"
"4","12","RedBull","#1E41FF","Renault","3","F","5","54","318.3"
"4","3","Mercedes","#00D2BE","Mercedes","4","F","2","54","336.8"
"4","5","Ferrari","#DC0000","Ferrari","5","F","3","54","321.9"
"4","9","Williams","#192c4e","Mercedes","6","F","15","53","331.1"
"4","15","Williams","#192c4e","Mercedes","7","F","7","54","334.6"
"4","7","ForceIndia","#F596C8","Mercedes","8","F","6","54","332.7"
"4","6","ToroRosso","#469BFF","Renault","9","F","12","53","331.8"
"4","22","LotusF1","#E2B007","Renault","10","DNF","21","28","321.8"
"4","11","Ferrari","#DC0000","Ferrari","11","F","8","54","332.9"
"4","10","McLaren","#FF8700","Mercedes","12","F","11","53","330.2"
"4","8","ToroRosso","#469BFF","Renault","13","F","10","53","334.6"
"4","13","Sauber","#9B0000","Ferrari","14","DNF","22","5","256.8"
"4","4","McLaren","#FF8700","Mercedes","15","F","13","53","333.8"
"4","16","ForceIndia","#F596C8","Mercedes","16","F","9","54","333.3"
"4","20","Sauber","#9B0000","Ferrari","17","F","16","53","320.4"
"4","14","Caterham","#006400","Renault","18","F","18","53","327.1"
"4","18","Marussia","#6E0000","Ferrari","19","F","17","53","318.1"
"4","19","Caterham","#006400","Renault","20","F","20","52","321.9"
"4","17","Marussia","#6E0000","Ferrari","21","F","19","52","322.7"
"4","21","LotusF1","#E2B007","Renault","22","F","14","53","325.5"
"5","1","Mercedes","#00D2BE","Mercedes","1","F","1","66","331.5"
"5","3","Mercedes","#00D2BE","Mercedes","2","F","2","66","334.5"
"5","2","RedBull","#1E41FF","Renault","3","F","3","66","328.8"
"5","15","Williams","#192c4e","Mercedes","4","F","5","66","330.4"
