"race_id","position","driver_id","q1laptime","q2laptime","q3laptime","speedtrap"
"86","12","39","72.587","72.635","null","325.3"
"86","13","40","72.945","72.661","null","329.3"
"86","14","5","72.979","72.856","null","323.3"
"86","15","33","72.998","72.865","null","320.6"
"86","16","38","73.047","null","null","325.3"
"86","17","36","73.59","null","null","321.9"
"86","18","41","73.643","null","null","323.5"
"86","19","19","74.593","null","null","320.9"
"86","20","22","null","null","null","null"
"87","1","1","91.271","90.645","90.029","330.1"
"87","2","15","91.776","91.227","90.147","330.8"
"87","3","12","91.82","90.751","90.4","330.8"
"87","4","27","91.531","90.818","90.705","328.7"
"87","5","2","91.91","91.538","90.895","326.8"
"87","6","11","91.567","90.772","91.057","334"
"87","7","25","92.394","92.016","92.126","329.3"
"87","8","40","92.538","92.055","92.635","331.8"
"87","9","4","92.169","91.51","92.93","330.6"
"87","10","22","92.083","91.472","null","328.1"
"87","11","34","92.786","92.075","null","330"
"87","12","7","92.949","92.115","null","326.7"
"87","13","16","92.692","92.454","null","337.5"
"87","14","38","92.447","92.46","null","325.8"
"87","15","19","92.804","92.82","null","326.5"
"87","16","5","92.976","null","null","323.9"
"87","17","39","93.025","null","null","327.9"
"87","18","33","93.162","null","null","321.3"
"87","19","41","93.636","null","null","332"
"87","20","36","93.729","null","null","326.5"
"88","1","15","64.175","63.756","63.13","321.7"
"88","2","1","64.08","63.577","63.149","322.2"
"88","3","12","64.347","63.544","63.464","323.2"
"88","4","11","64.234","63.975","63.66","321.4"
"88","5","27","64.273","64.001","63.84","316.7"
"88","6","22","64.242","64.059","63.892","320.5"
"88","7","2","64.723","64.403","63.996","316.2"
"88","8","4","64.46","64.291","64.051","319.5"
"88","9","25","64.948","64.561","64.725","316.4"
"88","10","7","64.864","64.676","65.019","319"
"88","11","34","65.148","64.845","null","321.7"
"88","12","38","65.011","64.874","null","318.5"
"88","13","40","64.967","64.979","null","319.2"
"88","14","5","64.965","65.058","null","316.4"
"88","15","36","65.264","65.286","null","320.2"
"88","16","33","65.271","null","null","314.6"
"88","17","16","65.279","null","null","320.3"
"88","18","41","65.322","null","null","320.3"
"88","19","39","65.366","null","null","318.3"
"88","20","19","65.479","null","null","316.6"
"89","1","1","86.818","86.256","85.892","321.6"
"89","2","12","86.585","86.372","85.936","324.9"
"89","3","11","87.549","86.483","85.99","325.6"
"89","4","15","87.025","86.413","86.217","320.6"
"89","5","27","87.309","87.013","86.602","319"
"89","6","2","87.979","87.369","87.099","317.4"
"89","7","4","88.143","87.73","87.244","320"
"89","8","22","88.086","87.522","87.455","320.8"
"89","9","40","87.962","87.79","87.879","320.3"
"89","10","34","88.279","87.843","88.194","323.3"
"89","11","7","88.017","87.901","null","316.8"
"89","12","16","88.21","87.928","null","322.1"
"89","13","5","88.187","88.139","null","315.4"
"89","14","38","88.399","88.343","null","316.8"
"89","15","19","88.249","88.391","null","318"
"89","16","25","88.456","null","null","316.9"
"89","17","33","89.096","null","null","314.3"
"89","18","41","89.252","null","null","314.2"
"89","19","36","null","null","null","219.6"
"89","20","39","null","null","null","null"
"90","1","12","72.538","72.505","71.212","322.6"
"90","2","15","72.962","72.152","71.416","320.6"
"90","3","11","72.505","72.336","71.547","324.7"
"90","4","27","73.127","72.188","71.822","312.2"
"90","5","4","73.105","72.523","72.2","319.5"
"90","6","22","72.986","72.722","72.544","320.9"
"90","7","7","73.479","72.946","72.56","319.2"
"90","8","25","73.324","73.032","72.692","317.8"
"90","9","40","73.077","72.995","72.717","320.1"
"90","10","16","73.427","73.072","72.774","326.6"
"90","11","5","73.614","73.657","null","311.6"
"90","12","41","73.708","73.702","null","320.8"
"90","13","19","73.562","73.736","null","324.1"
"90","14","1","73.012","null","null","316.4"
"90","15","2","73.318","null","null","310.7"
"90","16","34","73.72","null","null","320"
"90","17","38","73.749","null","null","317.9"
"90","18","39","74.045","null","null","314.1"
"90","19","36","74.206","null","null","319.9"
"90","20","33","74.401","null","null","313.8"
"91","1","1","77.419","91.242","95.658","317.7"
"91","2","15","77.123","92.081","95.918","314.8"
"91","3","11","77.526","92.762","96.186","317.8"
"91","4","12","76.666","88.636","96.21","316.9"
"91","5","25","77.829","90.771","96.743","303.2"
"91","6","38","78.577","91.286","97.591","305.6"
"91","7","27","76.94","91.178","98.032","308.8"
"91","8","39","78.429","92.59","98.128","309.3"
"91","9","4","78.314","92.968","99.858","316.6"
"91","10","22","77.901","93.65","100.593","310.7"
"91","11","5","78.208","95.214","null","310.3"
"91","12","2","78.54","96.442","null","307"
"91","13","7","77.905","96.506","null","306.2"
"91","14","19","78.641","97.075","null","310"
"91","15","36","78.56","null","null","312.5"
"91","16","33","78.782","null","null","301.1"
"91","17","40","78.817","null","null","310.2"
"91","18","34","79.142","null","null","313"
"91","19","16","79.2","null","null","312.8"
"91","20","41","79.301","null","null","314.5"
"92","1","1","102.977","101.553","118.179","311.8"
"92","2","12","103.035","101.501","118.905","315.6"
"92","3","34","104.003","103.302","121.851","314.9"
"92","4","16","104.004","103.014","121.894","315.6"
"92","5","22","103.597","103.042","122.122","311"
"92","6","11","102.585","101.533","122.671","312.4"
"92","7","27","103.199","102.554","122.769","310.3"
"92","8","2","103.604","103.126","122.939","313.2"
"92","9","4","103.834","103.32","124.933","312.6"
"92","10","15","102.805","102.191","null","309.6"
