id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date,lat,long,locality,country,season,round
73,82,91,85,40,4.12,Thunderstorm,Thunderstorm With Rain,11n,2017-09-17,1.2914,103.864,Marina Bay,Singapore,2017,14
74,87,96,66,75,3.1,Clouds,Broken Clouds,04d,2017-10-01,2.76083,101.738,Kuala Lumpur,Malaysia,2017,15
75,79,79,60,43,1.5,Clouds,Scattered Clouds,03d,2017-10-08,34.8431,136.541,Suzuka,Japan,2017,16
76,74,74,57,20,5.7,Clouds,Few Clouds,02d,2017-10-22,30.1328,-97.6411,Austin,USA,2017,17
77,70,68,35,75,2.1,Clouds,Broken Clouds,04d,2017-10-29,19.4042,-99.0907,Mexico City,Mexico,2017,18
78,81,79,28,0,2.6,Clear,Clear Sky,01d,2017-11-12,-23.7036,-46.6997,Sao Paulo,Brazil,2017,19
79,77,77,50,40,5.7,Clouds,Scattered Clouds,03d,2017-11-26,24.4672,54.6031,Abu Dhabi,UAE,2017,20
80,77,76,34,75,10.29,Clouds,Broken Clouds,04d,2018-03-25,-37.8497,144.968,Melbourne,Australia,2018,1
81,76,77,82,18,5.99,Clouds,Few Clouds,02n,2018-04-08,26.0325,50.5106,Sakhir,Bahrain,2018,2
82,67,65,28,0,3,Clear,Clear Sky,01d,2018-04-15,31.3389,121.22,Shanghai,China,2018,3
83,55,53,63,0,13.9,Clear,Clear Sky,01d,2018-04-29,40.3725,49.8533,Baku,Azerbaijan,2018,4
84,60,59,55,40,4.12,Clouds,Scattered Clouds,03d,2018-05-13,41.57,2.26111,Montmelo,Spain,2018,5
85,71,71,73,0,5.14,Clear,Clear Sky,01d,2018-05-27,43.7347,7.42056,Monte-Carlo,Monaco,2018,6
86,67,65,35,75,2.6,Clouds,Broken Clouds,04d,2018-06-10,45.5,-73.5228,Montreal,Canada,2018,7
87,75,75,70,93,1.14,Rain,Light Rain,10d,2018-06-24,43.2506,5.79167,Le Castellet,France,2018,8
88,70,69,49,20,4.12,Clouds,Few Clouds,02d,2018-07-01,47.2197,14.7647,Spielberg,Austria,2018,9
89,83,82,41,6,3.37,Clear,Clear Sky,01d,2018-07-08,52.0786,-1.01694,Silverstone,UK,2018,10
90,77,77,47,40,3.1,Clouds,Scattered Clouds,03d,2018-07-22,49.3278,8.56583,Hockenheim,Germany,2018,11
91,89,90,43,0,2.6,Clear,Clear Sky,01d,2018-07-29,47.5789,19.2486,Budapest,Hungary,2018,12
92,62,60,41,100,4,Clouds,Overcast Clouds,04d,2018-08-26,50.4372,5.97139,Spa,Belgium,2018,13
93,69,69,86,40,4.12,Clouds,Scattered Clouds,03d,2018-09-02,45.6156,9.28111,Monza,Italy,2018,14
94,84,89,65,75,3.1,Clouds,Broken Clouds,04n,2018-09-16,1.2914,103.864,Marina Bay,Singapore,2018,15
95,72,72,61,100,2,Clouds,Overcast Clouds,04d,2018-09-30,43.4057,39.9578,Sochi,Russia,2018,16
96,81,82,53,24,5.1,Clouds,Few Clouds,02d,2018-10-07,34.8431,136.541,Suzuka,Japan,2018,17
97,70,68,38,38,3.1,Clouds,Scattered Clouds,03d,2018-10-21,30.1328,-97.6411,Austin,USA,2018,18
98,66,65,52,75,1.54,Clouds,Broken Clouds,04d,2018-10-28,19.4042,-99.0907,Mexico City,Mexico,2018,19
99,78,79,69,75,6.7,Rain,Light Rain,10d,2018-11-11,-23.7036,-46.6997,Sao Paulo,Brazil,2018,20
100,92,92,36,40,5.14,Clouds,Scattered Clouds,03d,2018-11-25,24.4672,54.6031,Abu Dhabi,UAE,2018,21
101,77,77,58,0,6.2,Clear,Clear Sky,01d,2019-03-17,-37.8497,144.968,Melbourne,Australia,2019,1
102,76,77,65,90,11.57,Clouds,Overcast Clouds,04n,2019-03-31,26.0325,50.5106,Sakhir,Bahrain,2019,2
103,71,69,37,0,7,Rain,Heavy Intensity Rain,10d,2019-04-14,31.3389,121.22,Shanghai,China,2019,3
104,60,58,46,0,8.8,Clear,Clear Sky,01d,2019-04-28,40.3725,49.8533,Baku,Azerbaijan,2019,4
105,66,65,58,20,5.7,Clouds,Few Clouds,02d,2019-05-12,41.57,2.26111,Montmelo,Spain,2019,5
106,66,66,73,75,3.1,Rain,Light Rain,10d,2019-05-26,43.7347,7.42056,Monte-Carlo,Monaco,2019,6
107,84,81,17,0,5.14,Clear,Clear Sky,01d,2019-06-09,45.5,-73.5228,Montreal,Canada,2019,7
108,79,79,51,45,2.97,Clouds,Scattered Clouds,03d,2019-06-23,43.2506,5.79167,Le Castellet,France,2019,8
109,90,86,21,20,4.6,Clouds,Few Clouds,02d,2019-06-30,47.2197,14.7647,Spielberg,Austria,2019,9
110,67,67,69,100,2.48,Clouds,Overcast Clouds,04d,2019-07-14,52.0786,-1.01694,Silverstone,UK,2019,10
