,season,date,race_id,location,circuitName,weather,name,team,enginemanufacturer,status,"accidents per driver, per season","failures per driver, per season"
64,2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",Pastor Maldonado,LotusF1,Renault,F,0.0,6.0
65,2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",Romain Grosjean,LotusF1,Renault,DNF,1.0,5.0
66,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Lewis Hamilton,Mercedes,Mercedes,DNF,0.0,3.0
67,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Daniel Ricciardo,RedBull,Renault,F,0.0,2.0
68,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Nico Rosberg,Mercedes,Mercedes,F,0.0,2.0
69,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Kevin Magnussen,McLaren,Mercedes,F,0.0,1.0
70,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Fernando Alonso,Ferrari,Ferrari,F,0.0,2.0
71,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Jean-Eric Vergne,ToroRosso,Renault,F,0.0,5.0
72,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Nico Hulkenberg,ForceIndia,Mercedes,F,1.0,1.0
73,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Daniil Kvyat,ToroRosso,Renault,DNF,0.0,5.0
74,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Felipe Massa,Williams,Mercedes,DNF,3.0,0.0
75,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Jenson Button,McLaren,Mercedes,F,0.0,0.0
76,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Kimi Raikkonen,Ferrari,Ferrari,F,1.0,0.0
77,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Sebastian Vettel,RedBull,Renault,F,0.0,3.0
78,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Adrian Sutil,Sauber,Ferrari,F,4.0,3.0
79,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Kamui Kobayashi,Caterham,Renault,DNF,1.0,5.0
80,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Valtteri Bottas,Williams,Mercedes,F,0.0,1.0
81,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Sergio Perez,ForceIndia,Mercedes,DNF,3.0,0.0
82,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Max Chilton,Marussia,Ferrari,DNF,2.0,1.0
83,2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,Jules Bianchi,Marussia,Ferrari,DNF,1.0,1.0
